City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,San Juan,AR,2021-11-25 17:36:36,-31.5375,-68.5364,305.01,17,0,2.55
1,Hobart,AU,2021-11-25 17:36:37,-42.8794,147.3294,282.07,67,40,0.89
2,Atuona,PF,2021-11-25 17:36:37,-9.8,-139.0333,299.03,79,30,8.05
3,Mount Gambier,AU,2021-11-25 17:36:38,-37.8333,140.7667,283.1,66,75,6.69
4,Saskylakh,RU,2021-11-25 17:36:38,71.9167,114.0833,255.64,92,100,5.28
5,Dargaville,NZ,2021-11-25 17:36:39,-35.9333,173.8833,286.77,96,22,1.33
6,East London,ZA,2021-11-25 17:36:39,-33.0153,27.9116,289.67,88,20,4.12
7,Neiafu,TO,2021-11-25 17:36:40,-18.65,-173.9833,294.53,94,20,0.0
8,Guozhen,CN,2021-11-25 17:36:40,34.3659,107.359,281.17,46,4,1.29
9,Busselton,AU,2021-11-25 17:36:41,-33.65,115.3333,290.95,79,50,4.72
10,Turochak,RU,2021-11-25 17:36:41,52.2576,87.1224,276.72,95,100,3.16
11,Punta Arenas,CL,2021-11-25 17:32:36,-53.15,-70.9167,284.21,58,75,13.89
12,Kieta,PG,2021-11-25 17:36:42,-6.2167,155.6333,298.99,80,43,1.0
13,Hithadhoo,MV,2021-11-25 17:33:05,-0.6,73.0833,300.83,70,85,7.44
14,Puerto Ayora,EC,2021-11-25 17:36:42,-0.7393,-90.3518,299.13,87,49,3.13
15,Kaitangata,NZ,2021-11-25 17:36:43,-46.2817,169.8464,286.72,56,100,2.79
16,Qaanaaq,GL,2021-11-25 17:36:43,77.484,-69.3632,252.93,61,18,2.91
17,Lamar,US,2021-11-25 17:36:44,33.6668,-95.5836,283.7,61,1,8.23
18,Saint-Joseph,RE,2021-11-25 17:36:44,-21.3667,55.6167,297.71,82,44,0.68
19,Wilmington,US,2021-11-25 17:32:09,34.2257,-77.9447,289.81,41,1,4.63
20,Grindavik,IS,2021-11-25 17:36:45,63.8424,-22.4338,276.41,70,40,8.23
21,Albany,US,2021-11-25 17:34:12,42.6001,-73.9662,282.41,64,97,0.99
22,Hermanus,ZA,2021-11-25 17:36:45,-34.4187,19.2345,291.37,71,0,12.8
23,Sur,OM,2021-11-25 17:36:46,22.5667,59.5289,297.8,72,0,0.83
24,College,US,2021-11-25 17:36:47,64.8569,-147.8028,249.59,72,40,0.0
25,Katsuura,JP,2021-11-25 17:36:47,35.1333,140.3,287.14,65,0,8.7
26,La Ronge,CA,2021-11-25 17:36:48,55.1001,-105.2842,262.29,79,75,5.14
27,San Jose De Ocoa,DO,2021-11-25 17:36:48,18.55,-70.5,301.35,75,44,0.71
28,Chuy,UY,2021-11-25 17:36:48,-33.6971,-53.4616,298.05,45,100,2.42
29,Chunskiy,RU,2021-11-25 17:36:49,56.0815,99.6342,268.55,95,100,3.19
30,Tuktoyaktuk,CA,2021-11-25 17:36:49,69.4541,-133.0374,255.15,85,90,8.75
31,Lata,PT,2021-11-25 17:36:50,40.1629,-8.3327,282.63,92,91,1.49
32,Buraydah,SA,2021-11-25 17:36:51,26.326,43.975,295.4,26,0,5.39
33,Lagoa,PT,2021-11-25 17:36:51,39.05,-27.9833,289.9,69,76,14.45
34,Grand Baie,MU,2021-11-25 17:36:52,-20.0182,57.5802,298.41,74,2,2.46
35,Cape Town,ZA,2021-11-25 17:33:46,-33.9258,18.4232,296.54,48,0,10.29
36,Dwarka,IN,2021-11-25 17:36:52,22.2394,68.9678,298.18,57,0,2.19
37,Chilca,PE,2021-11-25 17:36:53,-12.5211,-76.7372,293.24,79,64,3.69
38,Port Hawkesbury,CA,2021-11-25 17:36:53,45.6169,-61.3485,285.91,96,90,3.58
39,Tiksi,RU,2021-11-25 17:36:54,71.6872,128.8694,254.36,82,100,2.57
40,Bredasdorp,ZA,2021-11-25 17:34:13,-34.5322,20.0403,291.08,73,0,11.85
41,Tommot,RU,2021-11-25 17:36:54,58.9564,126.2925,248.07,99,29,0.52
42,Peterhead,GB,2021-11-25 17:36:55,57.5058,-1.7981,276.54,78,100,6.16
43,Lompoc,US,2021-11-25 17:36:56,34.6391,-120.4579,295.69,50,1,2.06
